c_iss_pf,c_oss_pf,channels,configuration,division,i_d_25c_a,i_d_pulse_a,ispn,last_update_sami_pss,parameter_group_name,product_category,product_line,product_name,q_g_10v_nc,q_g_4_5v_nc,qualification,r_ds_on_10v_mohm,r_ds_on_25c_mohm,r_ds_on_4_5v_mohm,sales_product_number,technology_sami,v_ds_v,v_gs_th_max_v,v_gs_th_min_v,v_gs_th_typ_v,voltage_class_v
,,,,PSS,250.0,,IWY857P72PL6,2025-05-20 06:58:04.092,Category 4,,51,IWY857P72PL6,160.0,,Industrial,2.1,,,SP881600141,Category 42,135.0,3.5,2.5,3.0,135.0
,,,,PSS,8.7,,ISY0387,2025-05-20 06:58:04.092,Category 29,Prod Category 15,18,,,32.0,Standard,,,22.0,SP887166278,Category 30,20.0,,0.7,,
2760.0,857.0,,,PSS,,-90.0,VBQ728W82TB X,2025-05-20 06:58:04.092,Category 36,Prod Category 15,15,VBQ728W82TB X,,,Industrial,,,,SP888219666,Category 45,-30.0,-1.0,-2.2,,
,,,,PSS,,,ISYJ0977,2025-05-20 06:58:04.092,Category 21,,15,,,,Standard,3.0,,4.0,SP887100958,Category 55,30.0,,,,
,,,,PSS,161.0,644.0,VBQ879P83TBR,2025-05-20 06:58:04.092,Category 36,Prod Category 21,15,VBQ879P83TBR,41.0,21.0,Industrial,1.9,,2.7,SP885521704,Category 38,40.0,2.0,1.2,1.54,40.0
,,,,PSS,6.8,,ISY0385,2025-05-20 06:58:04.092,Category 29,,18,,,14.0,Standard,,,35.0,SP887100243,Category 30,20.0,,0.7,,
,,,,PSS,59.0,,ISY2078KB,2025-05-20 06:58:04.092,Category 3,Prod Category 15,51,,82.0,,Standard,18.0,,,SP887103654,Category 30,100.0,4.0,2.0,3.0,
,,,,PSS,63.0,,ISYA3178,2025-05-20 06:58:04.092,Category 15,,51,,54.0,,Standard,13.9,,,SP887110066,Category 30,100.0,4.0,2.0,3.0,
,,,,PSS,-2.3,,ISY9912,2025-05-20 06:58:04.092,Category 29,,18,,6.1,,Standard,250.0,,400.0,SP887111965,Category 30,-30.0,,-1.0,,
,,,,PSS,110.0,,ISYW863P,2025-05-20 06:58:04.092,Category 44,Prod Category 15,18,,113.3,,Standard,8.0,,,SP887113956,Category 30,55.0,4.0,2.0,3.0,
,,,,PSS,40.0,,ISTJL628,2025-05-20 06:58:04.092,Category 19,,15,,,41.0,Standard,3.2,,3.5,SP887164903,Category 53,30.0,1.1,0.5,0.8,
,,,,PSS,43.3,137.0,IWF61S848QYMO,2025-05-20 06:58:04.092,Category 50,Prod Category 15,52,IWF61S848QYMO,,,Automotive,80.0,,,SP888401486,Category 11,650.0,4.5,3.5,,
,,,,PSS,-13.0,,ISYA1378,2025-05-20 06:58:04.092,Category 15,,18,,38.7,,Standard,205.0,,,SP887110096,Category 30,-100.0,-4.0,-2.0,-3.0,
,,,,PSS,,,EVOT_RUTT_05VMQ_5NF,2025-05-20 06:58:04.092,,,51,,,,Industrial,,,,SP881915144,,,,,,
,,,,PSS,187.0,748.0,VBQ851P84TB1,2025-05-20 06:58:04.092,Category 36,Prod Category 15,18,VBQ851P84TB1,,44.0,Industrial,2.5,,3.3,SP887241674,Category 38,80.0,2.3,1.1,1.7,80.0
,,,,PSS,74.0,,ISY6477B,2025-05-20 06:58:04.092,Category 10,Prod Category 15,15,,,11.0,Standard,3.7,,5.4,SP887128553,Category 30,25.0,2.1,1.1,1.6,
,,,,PSS,50.0,200.0,IWW811P82T X,2025-05-20 06:58:04.092,Category 38,Prod Category 15,15,IWW811P82T X,31.0,15.0,Industrial,5.5,,7.8,SP888648486,Category 33,30.0,2.2,1.0,,
,,,,PSS,,60.0,IXU68S808M7,2025-05-20 06:58:04.092,Category 11,Prod Category 7,52,IXU68S808M7,,,Industrial,,,,SP887288265,Category 0,600.0,1.6,0.9,1.2,600.0
,,,,PSS,7.3,19.0,IWM68S688Q6,2025-05-20 06:58:04.092,Category 8,Prod Category 15,52,IWM68S688Q6,20.5,,Non-Automotive,600.0,,,SP887770056,Category 4,600.0,3.5,2.5,,
,,,,PSS,0.19,0.77,VBB752I,2025-05-20 06:58:04.092,Category 31,Prod Category 25,15,VBB752I,0.63,,Industrial,6000.0,,10000.0,SP881114629,Category 31,100.0,1.8,0.8,1.4,100.0
,,,,PSS,6.8,11.8,IWP68S7N8QE,2025-05-20 06:58:04.092,Category 30,Prod Category 19,52,IWP68S7N8QE,13.0,,Standard,1000.0,,,SP887323443,Category 6,600.0,3.5,2.5,3.0,
,,,,PSS,20.7,62.1,SPO58P68Q2,2025-05-20 06:58:04.092,Category 39,Prod Category 15,52,SPO58P68Q2,87.0,,Industrial,190.0,,,SP888576213,Category 2,600.0,3.9,2.1,3.0,
,,,,PSS,9.0,,ISY0369,2025-05-20 06:58:04.092,Category 29,Prod Category 15,15,,,15.0,Standard,17.0,,21.0,SP887161336,Category 30,40.0,3.0,1.0,2.0,
,,,,PSS,-16.0,,ISY0378,2025-05-20 06:58:04.092,Category 29,Prod Category 15,15,,,91.0,Standard,,,7.0,SP887111288,Category 30,-12.0,-0.9,-0.4,-0.65,
,,,,PSS,10.0,,ISY0308,2025-05-20 06:58:04.092,Category 29,Prod Category 15,15,,,29.0,Standard,13.0,,15.0,SP887117384,Category 30,40.0,2.0,0.8,1.4,
,,,,PSS,122.0,,ILKO61S829L7J,2025-05-20 06:58:04.092,Category 1,Prod Category 30,52,ILKO61S829L7J,,,Industrial,,39.0,,SP881352096,Category 25,650.0,,,,650.0
,,,,PSS,8.7,,ISYI3879J-770W,2025-05-20 06:58:04.092,Category 39,Prod Category 15,51,,13.0,,Standard,95.0,,,SP887168314,Category 30,150.0,4.9,3.0,3.95,
,,,,PSS,8.3,,ISY0480VWVY-7,2025-05-20 06:58:04.092,Category 29,,15,,,9.5,Standard,,,25.0,SP887168855,Category 30,30.0,3.0,1.0,2.0,
,,,,PSS,-5.3,,ISY0273,2025-05-20 06:58:04.092,Category 29,,18,,,19.0,Standard,,,58.0,SP887108553,Category 30,-20.0,,-0.7,,
,,,,PSS,62.0,,ISTV4057,2025-05-20 06:58:04.092,Category 38,,15,,,7.6,Standard,8.7,,16.0,SP887114738,Category 53,30.0,2.35,1.35,1.8,
6320.0,1210.0,,,PSS,160.0,640.0,IWV829P78P2 X,2025-05-20 06:58:04.092,Category 4,Prod Category 15,51,IWV829P78P2 X,88.0,,Industrial,3.9,,,SP888345354,Category 33,100.0,3.5,2.0,2.7,
,,,,PSS,210.0,,ISY2082,2025-05-20 06:58:04.092,Category 38,,18,,209.0,,Standard,2.8,,,SP887103665,Category 30,30.0,4.0,2.0,3.0,
,,,,PSS,203.0,,ISY788WF579,2025-05-20 06:58:04.092,Category 44,,51,ISY788WF579,168.0,,Industrial,1.7,,,SP886837158,Category 53,100.0,3.8,2.3,3.0,100.0
,,,,PSS,50.0,,ILVX38S826L5J,2025-05-20 06:58:04.092,Category 1,Prod Category 30,51,ILVX38S826L5J,,,Industrial,,36.4,,SP886863609,Category 26,400.0,,,,400.0
,,,,PSS,88.0,,ISYV3378,2025-05-20 06:58:04.092,Category 38,Prod Category 15,51,,120.0,,Standard,10.0,,,SP887116868,Category 30,100.0,4.0,2.0,3.0,
,,,,PSS,63.0,252.0,IBQ814P83PL1,2025-05-20 06:58:04.092,Category 36,Prod Category 21,15,IBQ814P83PL1,12.0,,Industrial,5.8,,,SP881299779,Category 38,40.0,3.4,2.2,,40.0
,,,,PSS,37.0,,ISY6078B5,2025-05-20 06:58:04.092,Category 10,Prod Category 15,15,,,,Standard,5.9,,11.9,SP887153026,Category 55,25.0,,,,
,,,,PSS,56.0,,ISYV568P,2025-05-20 06:58:04.092,Category 38,,18,,150.0,,Standard,40.0,,,SP887117056,Category 30,200.0,4.0,2.0,3.0,
,,,,PSS,16.0,,ISY0481K,2025-05-20 06:58:04.092,Category 29,,15,,,18.0,Standard,6.8,,8.7,SP887162695,Category 30,30.0,2.25,1.35,1.8,
1810.0,490.0,,,PSS,70.0,280.0,IWW788P84P2 X,2025-05-20 06:58:04.092,Category 38,Prod Category 15,18,IWW788P84P2 X,26.0,,Industrial,10.0,,,SP888648416,Category 33,80.0,3.5,2.0,2.8,
,,,,PSS,73.0,,IWM838P82TY5B,2025-05-20 06:58:04.092,Category 8,,15,IWM838P82TY5B,27.0,13.0,Standard,4.05,,5.9,SP881402100,Category 54,30.0,2.35,1.35,1.85,30.0
2100.0,790.0,,,PSS,80.0,316.0,VBQ818P82TB X,2025-05-20 06:58:04.092,Category 36,Prod Category 15,15,VBQ818P82TB X,26.0,13.0,Industrial,5.0,,7.5,SP888569041,Category 33,30.0,2.2,1.0,1.69,
,,,,PSS,700.0,2800.0,ICMJ21P82TL1,2025-05-20 06:58:04.092,Category 19,,15,ICMJ21P82TL1,197.0,91.0,Industrial,0.35,,0.5,SP881982041,Category 38,30.0,2.0,1.2,1.6,30.0
,,,1 Independent,PSS,,,IMJ89BX68Q,2025-05-20 06:58:04.092,Category 42,Prod Category 31,52,,,,Industrial,,,,SP887625496,Category 27,,,,,
,,,,PSS,-31.0,,ISY1281,2025-05-20 06:58:04.092,Category 38,Prod Category 15,18,,42.0,,Standard,60.0,,,SP887163213,Category 30,-55.0,-4.0,-2.0,-3.0,
5000.0,1100.0,,,PSS,80.0,320.0,IWW810P86P2 X,2025-05-20 06:58:04.092,Category 38,Prod Category 15,18,IWW810P86P2 X,61.0,,Industrial,5.7,,,SP888648484,Category 33,60.0,4.0,2.0,3.0,
76.0,12.0,,,PSS,0.35,1.4,VSP44,2025-05-20 06:58:04.092,Category 30,Prod Category 15,15,VSP44,4.5,,Automotive,6000.0,,,SP887814098,Category 52,240.0,1.4,0.6,,
,,,,PSS,88.0,,ISYB3378,2025-05-20 06:58:04.092,Category 3,Prod Category 15,51,,120.0,,Standard,10.0,,,SP887107053,Category 30,100.0,4.0,2.0,3.0,
,,,,PSS,100.0,400.0,VBQ818P78PB1,2025-05-20 06:58:04.092,Category 36,Prod Category 21,51,VBQ818P78PB1,49.0,,Industrial,5.0,,,SP887467825,Category 38,100.0,3.8,2.2,3.0,
2700.0,660.0,,,PSS,132.0,528.0,VBQ854P86PB,2025-05-20 06:58:04.092,Category 36,Prod Category 15,18,VBQ854P86PB,37.0,,Industrial,2.8,,,SP888970376,Category 38,60.0,3.3,2.1,2.8,
,,,,PSS,18.0,,ISY638PT,2025-05-20 06:58:04.092,Category 14,,18,,44.7,,Standard,150.0,,,SP887162596,Category 30,200.0,4.0,2.0,3.0,
,,,,PSS,23.0,56.0,IWO18S738QW,2025-05-20 06:58:04.092,Category 39,Prod Category 15,52,IWO18S738QW,48.0,,Industrial,140.0,,,SP888523944,Category 12,500.0,3.5,2.5,,
,,,,PSS,123.0,,ISYV0336X,2025-05-20 06:58:04.092,Category 38,,15,,,,Standard,3.3,,,SP887166078,Category 55,40.0,,,,
,,,,PSS,47.0,,ISTK33PB,2025-05-20 06:58:04.092,Category 3,Prod Category 15,18,,,32.0,Standard,22.0,,35.0,SP887112873,Category 30,55.0,2.0,1.0,1.5,
,,,,PSS,119.0,,ISYS3783,2025-05-20 06:58:04.092,Category 8,Prod Category 15,15,,59.0,,Standard,5.5,,,SP887107104,Category 30,40.0,4.0,2.0,3.0,
,,,,PSS,12.5,23.0,IXR68S798M7B,2025-05-20 06:58:04.092,Category 12,Prod Category 7,52,IXR68S798M7B,,,Standard,,,,SP887087085,Category 0,600.0,1.6,0.9,1.2,600.0
2900.0,640.0,,,PSS,50.0,200.0,IWV898P86P2 X,2025-05-20 06:58:04.092,Category 3,Prod Category 15,18,IWV898P86P2 X,36.0,,Industrial,9.0,,,SP888294835,Category 33,60.0,4.0,2.0,3.0,
,,,,PSS,22.0,82.0,IWF61S778QYM0,2025-05-20 06:58:04.092,Category 44,Prod Category 19,52,IWF61S778QYM0,41.0,,Industrial,110.0,,,SP881372266,Category 9,650.0,4.5,3.5,4.0,650.0
564.0,202.0,,,PSS,,14.7,VBS285P,2025-05-20 06:58:04.092,Category 28,Prod Category 15,15,VBS285P,,,Automotive,,,36.0,SP887787828,Category 32,30.0,2.0,1.2,,
,,,,PSS,51.0,,ISYK33KT,2025-05-20 06:58:04.092,Category 14,Prod Category 15,18,,29.0,,Standard,13.9,,,SP887107415,Category 30,55.0,4.0,2.0,3.0,
,,,,PSS,89.0,,ILKO01S876L7J,2025-05-20 06:58:04.092,Category 1,Prod Category 30,52,ILKO01S876L7J,,,Industrial,,16.0,,SP881908641,Category 25,750.0,,,,750.0
,,,,PSS,,,IWQ285P78P2,2025-05-20 06:58:04.092,Category 9,,51,,,,,100.0,,,SP888306976,Category 33,100.0,3.5,2.0,,
,,,,PSS,53.0,,ISYW833P,2025-05-20 06:58:04.092,Category 44,Prod Category 15,18,,40.7,,Standard,20.0,,,SP887107894,Category 30,55.0,4.0,2.0,3.0,
,,,,PSS,42.0,,ISYS5380,2025-05-20 06:58:04.092,Category 8,Prod Category 15,18,,74.0,,Standard,26.0,,,SP887104883,Category 30,75.0,4.0,2.0,3.0,
,,,,PSS,6.0,16.0,IWO68S688W0,2025-05-20 06:58:04.092,Category 39,Prod Category 15,52,IWO68S688W0,9.0,,Industrial,600.0,,,SP887674843,Category 18,600.0,4.0,3.0,3.5,
,,,,PSS,7.3,19.0,IWO68S688E6,2025-05-20 06:58:04.092,Category 39,Prod Category 15,52,IWO68S688E6,20.5,,Non-Automotive,600.0,,,SP888090594,Category 15,600.0,3.5,2.5,,
,,,,PSS,240.0,,ISYB0128-0W,2025-05-20 06:58:04.092,Category 4,Prod Category 15,18,,236.0,,Standard,1.4,,,SP887161526,Category 53,60.0,3.7,2.1,2.9,
,,,,PSS,120.0,,ISY3783B,2025-05-20 06:58:04.092,Category 3,Prod Category 15,15,,,,Standard,5.5,,,SP887117844,Category 30,40.0,,,,
,,,,PSS,140.0,,IWRQ864P58PL6,2025-05-20 06:58:04.092,Category 54,,51,IWRQ864P58PL6,71.0,,Industrial,6.8,,,SP886862883,Category 42,200.0,4.5,3.0,3.7,200.0
,,,,PSS,24.0,51.0,IWMM68S731QYM0,2025-05-20 06:58:04.092,Category 6,Prod Category 19,52,IWMM68S731QYM0,28.0,,Industrial,145.0,,,SP882482275,Category 9,600.0,4.5,3.5,4.0,600.0
,,,,PSS,17.0,66.0,IPL68S751Q0,2025-05-20 06:58:04.092,Category 59,Prod Category 15,52,IPL68S751Q0,34.0,,Industrial,125.0,,,SP887241866,Category 5,600.0,4.0,3.0,3.5,
,,,,PSS,182.0,728.0,IWW853P84PY5B,2025-05-20 06:58:04.092,Category 38,Prod Category 23,18,IWW853P84PY5B,89.0,,Standard,2.4,,,SP881134432,Category 54,80.0,3.8,2.2,3.0,80.0
4500.0,790.0,,,PSS,,400.0,VBQ836P78PB2 X,2025-05-20 06:58:04.092,Category 36,Prod Category 15,51,VBQ836P78PB2 X,63.0,,Industrial,4.6,,,SP888980955,Category 33,100.0,3.5,2.0,2.7,
,,,,PSS,23.0,,OILKO01S898L7J,2025-05-20 06:58:04.092,Category 1,Prod Category 30,52,OILKO01S898L7J,,,Automotive,,90.0,,SP881196521,Category 25,750.0,,,,750.0
,,,,PSS,3.0,6.0,IWM48S5N8W0,2025-05-20 06:58:04.092,Category 8,Prod Category 15,52,IWM48S5N8W0,9.0,,Industrial,2000.0,,,SP887623986,Category 18,800.0,3.5,2.5,3.0,
,,,,PSS,294.0,1176.0,IWR870P78PY5B,2025-05-20 06:58:04.092,Category 48,,51,IWR870P78PY5B,130.0,,Standard,1.75,,,SP881675150,Category 54,100.0,3.8,2.2,3.0,
,,,,PSS,21.0,63.0,SPW57P18Q2,2025-05-20 06:58:04.092,Category 38,Prod Category 15,52,SPW57P18Q2,95.0,,Non-Automotive,190.0,,,SP888647866,Category 2,500.0,3.9,2.1,,
207.0,75.0,,,PSS,2.3,9.0,VBB286P,2025-05-20 06:58:04.092,Category 31,Prod Category 15,15,VBB286P,,,Automotive,57.0,,,SP888954938,Category 31,30.0,2.0,1.2,,
,,,,PSS,8.3,,ISY0480V,2025-05-20 06:58:04.092,Category 29,Prod Category 15,18,,,9.5,Standard,,,25.0,SP887166293,Category 30,30.0,,1.0,,
690.0,230.0,,,PSS,-18.6,-74.4,SPM74W86W X,2025-05-20 06:58:04.092,Category 8,Prod Category 15,15,SPM74W86W X,22.0,,Automotive,130.0,,,SP888332956,Category 52,-60.0,,,-3.0,
,,,,PSS,135.0,,ISY5481B,2025-05-20 06:58:04.092,Category 3,Prod Category 15,18,,150.0,,Standard,4.7,,,SP887169944,Category 30,55.0,4.0,2.0,3.0,
,,,,PSS,23.0,,ISYB52P71M,2025-05-20 06:58:04.092,Category 3,,18,,37.0,,Standard,90.0,,,SP887110586,Category 30,150.0,5.5,3.0,4.25,
1820.0,214.0,,,PSS,50.0,200.0,IWM588P71P2 X,2025-05-20 06:58:04.092,Category 8,Prod Category 15,51,IWM588P71P2 X,23.0,,Industrial,20.0,,,SP887750458,Category 33,150.0,4.0,2.0,3.0,
,,,,PSS,55.0,230.0,IWR68S820QL4,2025-05-20 06:58:04.092,Category 48,,52,IWR68S820QL4,79.0,,Industrial,37.0,,,SP881104813,Category 1,600.0,4.7,3.7,4.2,600.0
,,,,PSS,87.0,,ISY2089K,2025-05-20 06:58:04.092,Category 38,Prod Category 15,15,,,17.0,Standard,6.3,,7.8,SP887163673,Category 30,30.0,2.25,1.35,1.8,
1600.0,250.0,,,PSS,62.0,248.0,VBK896P78TB1,2025-05-20 06:58:04.092,Category 19,Prod Category 15,51,VBK896P78TB1,22.0,12.0,Industrial,9.6,,13.5,SP887215993,Category 38,100.0,2.3,1.1,1.7,
,,,,PSS,130.0,,ISY68ML586,2025-05-20 06:58:04.092,Category 10,Prod Category 15,18,,133.0,,Standard,2.9,,,SP887167406,Category 53,60.0,3.7,2.1,3.0,
3700.0,460.0,,,PSS,71.0,284.0,VBQ752P78TB X,2025-05-20 06:58:04.092,Category 36,Prod Category 15,51,VBQ752P78TB X,51.0,,Industrial,12.3,,16.6,SP888209675,Category 31,100.0,2.4,1.2,1.85,
,,,,PSS,127.0,,ISYB3278K,2025-05-20 06:58:04.092,Category 3,,51,,120.0,,Standard,6.0,,,SP887110255,Category 30,100.0,4.0,2.0,3.0,
,,,,PSS,41.0,,ISYV37P71M,2025-05-20 06:58:04.092,Category 38,Prod Category 15,18,,72.0,,Standard,45.0,,,SP887101163,Category 30,150.0,5.5,3.0,4.25,
,,,,PSS,60.0,,ISTS5981K,2025-05-20 06:58:04.092,Category 8,Prod Category 15,18,,,23.0,Standard,13.5,,22.5,SP887100878,Category 30,55.0,3.0,1.0,2.0,
,,,,PSS,195.0,,ISYB0328,2025-05-20 06:58:04.092,Category 3,Prod Category 15,15,,300.0,,Standard,1.2,,,SP887104215,Category 53,40.0,3.9,2.2,3.05,
,,,,PSS,122.0,,ISYV2380K,2025-05-20 06:58:04.092,Category 38,,18,,79.0,,Standard,6.4,,,SP887168585,Category 30,75.0,4.0,2.0,3.0,
,,,,PSS,75.0,245.0,IWR68S854X0,2025-05-20 06:58:04.092,Category 48,Prod Category 15,52,IWR68S854X0,123.0,,Industrial,28.0,,,SP887109275,Category 16,600.0,4.0,3.0,3.5,
,,,,PSS,135.0,,IBQ8085PTB,2025-05-20 06:58:04.092,Category 36,Prod Category 21,18,IBQ8085PTB,42.0,21.0,Standard,2.8,,3.5,SP881370376,Category 38,60.0,2.3,1.1,1.7,60.0
,,,,PSS,40.0,,ISYJL428,2025-05-20 06:58:04.092,Category 19,Prod Category 15,15,,,15.0,Standard,3.8,,6.0,SP887166045,Category 53,30.0,2.35,1.35,1.8,
,,,,PSS,79.0,,ISYS7874E,2025-05-20 06:58:04.092,Category 8,Prod Category 15,18,,46.0,,Standard,8.4,,,SP887160396,Category 30,60.0,4.0,2.0,3.0,
1750.0,470.0,,,PSS,,-36.0,VBU282SP J,2025-05-20 06:58:04.092,Category 29,Prod Category 15,15,VBU282SP J,,,Industrial,,,31.0,SP888672434,Category 45,-30.0,-2.0,-1.0,,
,,,,PSS,-6.7,-27.0,IBK16MW71TL,2025-05-20 06:58:04.092,Category 19,,51,IBK16MW71TL,-30.0,-15.2,Industrial,560.0,,550.0,SP881375724,Category 31,-150.0,-2.0,-1.0,,-150.0
,,,,PSS,111.0,,ILR38S871L5J,2025-05-20 06:58:04.092,Category 1,Prod Category 30,51,ILR38S871L5J,,,Industrial,,15.0,,SP881971043,Category 26,400.0,,,,400.0
,,,,PSS,14.0,,ISY0362,2025-05-20 06:58:04.092,Category 29,Prod Category 15,15,,,34.0,Standard,8.0,,9.5,SP887117244,Category 30,30.0,2.0,0.6,1.3,
1199.0,22.0,,,PSS,8.0,51.0,IWO68S708QYM0,2025-05-20 06:58:04.092,Category 39,Prod Category 15,52,IWO68S708QYM0,28.0,,Industrial,170.0,,,SP887670904,Category 9,600.0,4.5,3.5,4.0,
,,,,PSS,16.0,,ISY0316,2025-05-20 06:58:04.092,Category 29,Prod Category 15,18,,,41.0,Standard,6.5,,7.5,SP887166565,Category 30,20.0,2.0,0.6,1.3,
,,,,PSS,445.0,1780.0,ICM889P86PL1QX,2025-05-20 06:58:04.092,Category 19,,18,ICM889P86PL1QX,120.0,,Industrial,0.9,,,SP881144472,Category 38,60.0,3.3,2.1,2.8,60.0
,,,,PSS,7.3,18.0,IWM61S688E6,2025-05-20 06:58:04.092,Category 8,Prod Category 15,52,IWM61S688E6,23.0,,Non-Automotive,600.0,,,SP887770896,Category 15,650.0,3.5,2.5,,
,,,,PSS,7.0,17.0,IWA48S018W0,2025-05-20 06:58:04.092,Category 15,Prod Category 15,52,IWA48S018W0,17.0,,Non-Automotive,750.0,,,SP887633658,Category 18,800.0,3.5,2.5,3.0,
,,,,PSS,,,ISY2101M,2025-05-20 06:58:04.092,Category 19,,15,,,,Standard,0.9,,1.35,SP887154405,Category 55,25.0,,,,
,,2.0,High-side and low-side,PSS,,,5EMY0501Y,2025-05-20 06:58:04.092,,Prod Category 8,52,,,,Industrial,,,,SP887694593,,,,,,
,,,,PSS,-5.8,,ISY0386,2025-05-20 06:58:04.092,Category 29,Prod Category 15,18,,39.3,,Standard,45.0,,70.0,SP887117254,Category 30,-30.0,,-1.0,,
,,,,PSS,,,EVOT_688F_75V_TTQ_QYM0,2025-05-20 06:58:04.092,,,52,EVOT_688F_75V_TTQ_QYM0,,,Industrial,,,,SP887042608,,,,,,
,,,,PSS,57.0,,ISTS4519,2025-05-20 06:58:04.092,Category 8,Prod Category 27,15,,,6.8,Standard,8.7,,12.9,SP887114948,Category 53,25.0,2.35,1.35,1.9,
,,,,PSS,122.0,488.0,IWV852P83PY5B,2025-05-20 06:58:04.092,Category 3,,15,IWV852P83PY5B,68.0,,Standard,2.35,,,SP881625951,Category 54,40.0,3.4,2.1,2.8,40.0
,,,,PSS,5.0,,ISYS558P,2025-05-20 06:58:04.092,Category 8,Prod Category 15,18,,15.0,,Standard,600.0,,,SP887168103,Category 30,200.0,4.0,2.0,3.0,
,,,,PSS,3.9,8.2,IPLN08S7N3W0,2025-05-20 06:58:04.092,Category 58,Prod Category 19,52,IPLN08S7N3W0,4.7,,Industrial,1400.0,,,SP887457063,Category 18,700.0,3.5,2.5,3.0,700.0
,,,,PSS,,375.0,IWMC68S855B0,2025-05-20 06:58:04.092,Category 22,Prod Category 18,52,IWMC68S855B0,150.0,,Industrial,22.0,,,SP881119592,Category 21,600.0,4.5,3.5,4.0,600.0
,,,,PSS,5.4,8.3,IWBO08S7N3QE,2025-05-20 06:58:04.092,Category 17,Prod Category 15,52,IWBO08S7N3QE,10.5,,Non-Automotive,1400.0,,,SP887681294,Category 6,700.0,3.5,2.5,,
,,,,PSS,,55.0,IWR61S711QYM0,2025-05-20 06:58:04.092,Category 48,,52,IWR61S711QYM0,,,Industrial,,,,SP881120671,Category 9,650.0,,,,650.0
,,,,PSS,63.0,,ISTA2778K,2025-05-20 06:58:04.092,Category 15,Prod Category 15,51,,,34.0,Standard,14.0,,16.0,SP887104965,Category 30,100.0,2.5,1.0,1.75,
4300.0,1200.0,,,PSS,113.0,452.0,VBK821P82LB X,2025-05-20 06:58:04.092,Category 19,Prod Category 15,15,VBK821P82LB X,56.0,27.0,Industrial,3.5,,4.3,SP888277177,Category 36,30.0,2.0,1.0,1.48,
,,,,PSS,124.0,,ISY0069T7,2025-05-20 06:58:04.092,Category 10,Prod Category 15,51,,200.0,,Standard,3.5,,,SP887166374,Category 30,100.0,4.0,2.0,2.7,
,,,,PSS,3.4,,ISTLT6236,2025-05-20 06:58:04.092,Category 31,Prod Category 15,15,,,2.9,Standard,,,63.0,SP887104008,Category 30,30.0,1.1,0.5,0.8,
300.0,6.0,,,PSS,4.5,11.0,IWP48S7N5W0,2025-05-20 06:58:04.092,Category 30,Prod Category 15,52,IWP48S7N5W0,11.0,,Non-Automotive,1200.0,,,SP887663994,Category 18,800.0,3.5,2.5,3.0,
,,,,PSS,17.0,,ILMC01S738L7J,2025-05-20 06:58:04.092,Category 1,Prod Category 30,52,ILMC01S738L7J,,,Industrial,,140.0,,SP881144507,Category 25,750.0,,,,750.0
538.0,76.0,,,PSS,13.0,52.0,IWM04QP78P X,2025-05-20 06:58:04.092,Category 8,Prod Category 15,51,IWM04QP78P X,8.0,,Industrial,78.0,,,SP887750473,Category 31,100.0,4.0,2.0,3.0,
,,,,PSS,17.0,,ISYK53P,2025-05-20 06:58:04.092,Category 38,Prod Category 15,18,,13.3,,Standard,70.0,,,SP887161754,Category 30,55.0,4.0,2.0,3.0,
,,,,PSS,44.0,176.0,ICE558P71PL1QX,2025-05-20 06:58:04.092,Category 19,,51,ICE558P71PL1QX,14.6,,Industrial,22.0,,,SP881299362,Category 38,150.0,4.6,3.0,3.8,150.0
,,,,PSS,440.0,1760.0,IBR880P83PL6,2025-05-20 06:58:04.092,Category 60,Prod Category 21,15,IBR880P83PL6,114.0,,Industrial,0.7,,,SP881381710,Category 42,40.0,3.3,2.1,2.5,40.0
,,,,PSS,120.0,480.0,IWV858P78P1TY,2025-05-20 06:58:04.092,Category 3,Prod Category 15,51,IWV858P78P1TY,195.0,,Industrial,2.0,,,SP887182413,Category 39,100.0,4.1,2.5,3.3,
,,,,PSS,6.0,14.0,IWW48S988W0,2025-05-20 06:58:04.092,Category 38,Prod Category 15,52,IWW48S988W0,15.0,,Industrial,900.0,,,SP887622346,Category 18,800.0,3.5,2.5,3.0,
,,,,PSS,160.0,,ISYBT2286,2025-05-20 06:58:04.092,Category 14,Prod Category 15,18,,85.0,,Standard,4.2,,,SP887164805,Category 30,60.0,4.0,2.0,3.0,
,,,,PSS,10.0,,ISY4978WVY-7,2025-05-20 06:58:04.092,Category 29,,15,,,7.4,Standard,13.4,,18.3,SP887108668,Category 30,20.0,2.55,1.65,2.1,
,,,,PSS,5.3,,ISTLT8828WVY-7,2025-05-20 06:58:04.092,Category 31,,15,,,2.6,Standard,27.0,,40.0,SP887102475,Category 30,30.0,2.3,1.3,1.7,
,,,,PSS,17.5,57.2,IWO61S798QYM,2025-05-20 06:58:04.092,Category 39,Prod Category 15,52,IWO61S798QYM,68.0,,Industrial,190.0,,,SP887900853,Category 8,650.0,4.5,3.5,4.0,
,,,,PSS,31.0,,ISYIK33P,2025-05-20 06:58:04.092,Category 39,Prod Category 15,18,,43.3,,Standard,24.0,,,SP887105623,Category 30,55.0,4.0,2.0,3.0,
,,,,PSS,89.0,,OILKO01S876L7J,2025-05-20 06:58:04.092,Category 1,Prod Category 30,52,OILKO01S876L7J,,,Automotive,,16.0,,SP881196796,Category 25,750.0,,,,750.0
,,,,PSS,28.0,,ISTS5081,2025-05-20 06:58:04.092,Category 8,Prod Category 15,18,,,16.7,Standard,40.0,,65.0,SP887115064,Category 30,55.0,2.0,1.0,1.5,
